city,state,lat,lon
Seattle,WA,47.6062,-122.3321
Spokane,WA,47.6588,-117.4260
Tacoma,WA,47.2529,-122.4443
Vancouver,WA,45.6387,-122.6615
Bellevue,WA,47.6101,-122.2015
Kent,WA,47.3809,-122.2348
Everett,WA,47.9790,-122.2021
Renton,WA,47.4829,-122.2171
Spokane Valley,WA,47.6732,-117.2394
Yakima,WA,46.6021,-120.5059
Bellingham,WA,48.7519,-122.4787
Kennewick,WA,46.2112,-119.1372
Walla Walla,WA,46.0646,-118.3430
Pullman,WA,46.7298,-117.1817
Port Angeles,WA,48.1181,-123.4307
Charleston,WV,38.3498,-81.6326
Huntington,WV,38.4192,-82.4452
Morgantown,WV,39.6295,-79.9559
Parkersburg,WV,39.2667,-81.5615
Wheeling,WV,40.0640,-80.7209
Weirton,WV,40.4190,-80.5895
Martinsburg,WV,39.4563,-77.9639
Beckley,WV,37.7782,-81.1882
Clarksburg,WV,39.2806,-80.3445
Fairmont,WV,39.4851,-80.1426
Bluefield,WV,37.2698,-81.2223
Lewisburg,WV,37.8018,-80.4456
Elkins,WV,38.9259,-79.8468
Princeton,WV,37.3662,-81.1024
Madison,WI,43.0731,-89.4012
Milwaukee,WI,43.0389,-87.9065
Green Bay,WI,44.5133,-88.0133
Kenosha,WI,42.5847,-87.8212
Racine,WI,42.7261,-87.7829
Appleton,WI,44.2619,-88.4154
Waukesha,WI,43.0117,-88.2315
Eau Claire,WI,44.8113,-91.4985
Oshkosh,WI,44.0247,-88.5426
La Crosse,WI,43.8014,-91.2396
Janesville,WI,42.6828,-89.0187
Sheboygan,WI,43.7508,-87.7145
Stevens Point,WI,44.5236,-89.5746
Wausau,WI,44.9591,-89.6301
Superior,WI,46.7208,-92.1041
Fond du Lac,WI,43.7750,-88.4468
Cheyenne,WY,41.1400,-104.8202
Casper,WY,42.8501,-106.3252
Laramie,WY,41.3114,-105.5911
Gillette,WY,44.2911,-105.5022
Rock Springs,WY,41.5875,-109.2029
Sheridan,WY,44.7972,-106.9562
Green River,WY,41.5286,-109.4660
Evanston,WY,41.2683,-110.9632
Riverton,WY,42.8566,-108.3801
Cody,WY,44.5263,-109.0565
Jackson,WY,43.4799,-110.7624
Lander,WY,42.8330,-108.7307
Thermopolis,WY,43.6461,-108.2121
Powell,WY,44.7538,-108.7574
Washington,DC,38.9072,-77.0369
